indicator_id,name,unit,timestamp
1.1.PGap.Poor4uds,Poverty Gap ($4 a day)-Rural,,2025-11-24T12:05:52.123468
1.1.PSev.1.90usd,Poverty Severity ($1.90 a day)-Rural,,2025-11-24T12:05:52.123469
1.1.PSev.2.5usd,Poverty Severity ($2.50 a day)-Rural,,2025-11-24T12:05:52.123469
1.1.PSev.Poor4uds,Poverty Severity ($4 a day)-Rural,,2025-11-24T12:05:52.123470
1.1_ACCESS.ELECTRICITY.TOT,Access to electricity (% of total population),,2025-11-24T12:05:52.123471
1.1_TOTAL.FINAL.ENERGY.CONSUM,Total final energy consumption (TFEC),,2025-11-24T12:05:52.123472
1.1_YOUTH.LITERACY.RATE,"Literacy rate, youth total (% of people ages 15-24) ",,2025-11-24T12:05:52.123473
1.2.HCount.1.90usd,Poverty Headcount ($1.90 a day)-Urban,,2025-11-24T12:05:52.123474
1.2.HCount.2.5usd,Poverty Headcount ($2.50 a day)-Urban,,2025-11-24T12:05:52.123475
1.2.HCount.Mid10to50,Middle Class ($10-50 a day) Headcount-Urban,,2025-11-24T12:05:52.123476
1.2.HCount.Ofcl,Official Moderate Poverty Rate-Urban,,2025-11-24T12:05:52.123477
1.2.HCount.Poor4uds,Poverty Headcount ($4 a day)-Urban,,2025-11-24T12:05:52.123478
1.2.HCount.Vul4to10,Vulnerable ($4-10 a day) Headcount-Urban,,2025-11-24T12:05:52.123479
1.2.PGap.1.90usd,Poverty Gap ($1.90 a day)-Urban,,2025-11-24T12:05:52.123482
1.2.PGap.2.5usd,Poverty Gap ($2.50 a day)-Urban,,2025-11-24T12:05:52.123484
1.2.PGap.Poor4uds,Poverty Gap ($4 a day)-Urban,,2025-11-24T12:05:52.123485
1.2.PSev.1.90usd,Poverty Severity ($1.90 a day)-Urban,,2025-11-24T12:05:52.123487
1.2.PSev.2.5usd,Poverty Severity ($2.50 a day)-Urban,,2025-11-24T12:05:52.123488
1.2.PSev.Poor4uds,Poverty Severity ($4 a day)-Urban,,2025-11-24T12:05:52.123489
1.2_ACCESS.ELECTRICITY.RURAL,Access to electricity (% of rural population),,2025-11-24T12:05:52.123490
1.3_ACCESS.ELECTRICITY.URBAN,Access to electricity (% of urban population),,2025-11-24T12:05:52.123491
100000,100000:GROSS DOMESTIC PRODUCT,,2025-11-24T12:05:52.123492
1000000,1000000:GROSS DOMESTIC PRODUCT,,2025-11-24T12:05:52.123493
110000,110000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS,,2025-11-24T12:05:52.123494
110100,110100:FOOD AND NON-ALCOHOLIC BEVERAGES,,2025-11-24T12:05:52.123495
1101000,1101000:FOOD AND NON-ALCOHOLIC BEVERAGES,,2025-11-24T12:05:52.123496
110110,110110:FOOD,,2025-11-24T12:05:52.123497
1101100,1101100:FOOD,,2025-11-24T12:05:52.123498
110111,110111:Bread and cereals (Class),,2025-11-24T12:05:52.123499
1101110,1101110:Bread and cereals,,2025-11-24T12:05:52.123500
110112,110112:Meat (Class),,2025-11-24T12:05:52.123500
1101120,1101120:Meat,,2025-11-24T12:05:52.123501
110113,110113:Fish and seafood (Class),,2025-11-24T12:05:52.123502
1101130,1101130:Fish and seafood,,2025-11-24T12:05:52.123503
110114,"110114:Milk, cheese and eggs (Class)",,2025-11-24T12:05:52.123504
1101140,"1101140:Milk, cheese and eggs",,2025-11-24T12:05:52.123506
110115,110115:Oils and fats (Class),,2025-11-24T12:05:52.123507
1101150,1101150:Oils and fats,,2025-11-24T12:05:52.123507
110116,110116:Fruit (Class),,2025-11-24T12:05:52.123508
1101160,1101160:Fruit,,2025-11-24T12:05:52.123509
110117,110117:Vegetables (Class),,2025-11-24T12:05:52.123510
1101170,1101170:Vegetables,,2025-11-24T12:05:52.123511
110118,"110118:Sugar, jam, honey, chocolate and confectionery (Class)",,2025-11-24T12:05:52.123512
1101180,"1101180:Sugar, jam, honey, chocolate and confectionery",,2025-11-24T12:05:52.123513
110119,110119:Food products nec (Class),,2025-11-24T12:05:52.123514
1101190,1101190:Food products n.e.c. (Class),,2025-11-24T12:05:52.123515
110120,110120:NON-ALCOHOLIC BEVERAGES,,2025-11-24T12:05:52.123516
1101200,1101200:NON-ALCOHOLIC BEVERAGES,,2025-11-24T12:05:52.123517
110200,"110200:ALCOHOL BEVERAGES, TOBACCO AND NARCOTICS",,2025-11-24T12:05:52.123520
1102000,"1102000:ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",,2025-11-24T12:05:52.123521
110210,110210:ALCOHOL BEVERAGES,,2025-11-24T12:05:52.123522
1102100,1102100:ALCOHOLIC BEVERAGES,,2025-11-24T12:05:52.123524
110220,110220:TOBACCO,,2025-11-24T12:05:52.123526
1102200,1102200:TOBACCO,,2025-11-24T12:05:52.123527
110300,110300:CLOTHING AND FOOTWEAR,,2025-11-24T12:05:52.123528
1103000,1103000:CLOTHING AND FOOTWEAR,,2025-11-24T12:05:52.123529
110400,"110400:HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",,2025-11-24T12:05:52.123530
110500,"110500:FURNISHING, HOUSEHOLD EQUIPMENT AND ROUTINE MAINTENANCE OF THE HOUSE",,2025-11-24T12:05:52.123531
1105000,"1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",,2025-11-24T12:05:52.123532
110600,110600:HEALTH - HHC (Category),,2025-11-24T12:05:52.123533
110700,110700:TRANSPORT,,2025-11-24T12:05:52.123534
1107000,1107000:TRANSPORT,,2025-11-24T12:05:52.123535
110710,110710:PURCHASE OF VEHICLES,,2025-11-24T12:05:52.123536
1107100,1107100:PURCHASE OF VEHICLES,,2025-11-24T12:05:52.123536
110730,110730:TRANSPORT SERVICES,,2025-11-24T12:05:52.123537
1107300,1107300:TRANSPORT SERVICES,,2025-11-24T12:05:52.123538
110800,110800:COMMUNICATION,,2025-11-24T12:05:52.123539
1108000,1108000:COMMUNICATION,,2025-11-24T12:05:52.123540
111100,111100:RESTAURANTS AND HOTELS,,2025-11-24T12:05:52.123541
1111000,1111000:RESTAURANTS AND HOTELS,,2025-11-24T12:05:52.123542
111300,111300:BALANCE OF EXPENDITURES OF RESIDENTS ABROAD AND EXPENDITURES OF NON-RESIDENTS IN THE ECONOMIC TERRITORY,,2025-11-24T12:05:52.123543
1113000,1113000:NET PURCHASES ABROAD,,2025-11-24T12:05:52.123544
130000,130000:INDIVIDUAL CONSUMPTION EXPENDITURE BY GOVERNMENT,,2025-11-24T12:05:52.123545
1300000,1300000:INDIVIDUAL CONSUMPTION EXPENDITURE BY GOVERNMENT,,2025-11-24T12:05:52.123546
140000,140000:COLLECTIVE CONSUMPTION EXPENDITURE BY GOVERNMENT,,2025-11-24T12:05:52.123547
1400000,1400000:COLLECTIVE CONSUMPTION EXPENDITURE BY GOVERNMENT,,2025-11-24T12:05:52.123547
150000,150000:GROSS FIXED CAPITAL FORMATION,,2025-11-24T12:05:52.123550
1500000,1500000:GROSS CAPITAL FORMATION,,2025-11-24T12:05:52.123551
150100,150100:MACHINERY AND EQUIPMENT,,2025-11-24T12:05:52.123552
1501000,1501000:GROSS FIXED CAPITAL FORMATION,,2025-11-24T12:05:52.123555
1501100,1501100:MACHINERY AND EQUIPMENT,,2025-11-24T12:05:52.123556
1501200,1501200:CONSTRUCTION,,2025-11-24T12:05:52.123556
1501300,1501300:OTHER PRODUCTS,,2025-11-24T12:05:52.123557
150200,150200:CONSTRUCTION,,2025-11-24T12:05:52.123558
1502000,1502000:CHANGES IN INVENTORIES,,2025-11-24T12:05:52.123559
150300,150300:OTHER PRODUCTS,,2025-11-24T12:05:52.123560
1503000,1503000:ACQUISITIONS LESS DISPOSALS OF VALUABLES (Category),,2025-11-24T12:05:52.123561
1600000,1600000:BALANCE OF EXPORTS AND IMPORTS,,2025-11-24T12:05:52.123562
160100,160100:CHANGES IN INVENTORIES,,2025-11-24T12:05:52.123563
160200,160200:ACQUISITIONS LESS DISPOSALS OF VALUABLES,,2025-11-24T12:05:52.123564
170000,170000:BALANCE OF EXPORTS AND IMPORTS,,2025-11-24T12:05:52.123565
2.0.cov.Cel,Coverage: Mobile Phone,,2025-11-24T12:05:52.123566
2.0.cov.Ele,Coverage: Electricity,,2025-11-24T12:05:52.123567
2.0.cov.FPS,Coverage: Finished Primary School,,2025-11-24T12:05:52.123568
2.0.cov.Int,Coverage: Internet ,,2025-11-24T12:05:52.123569
2.0.cov.Math.pl_2.all,Coverage: Mathematics Proficiency Level 2,,2025-11-24T12:05:52.123570
2.0.cov.Math.pl_2.prv,"Coverage: Mathematics Proficiency Level 2, Private schools",,2025-11-24T12:05:52.123571
2.0.cov.Math.pl_2.pub,"Coverage: Mathematics Proficiency Level 2, Public schools",,2025-11-24T12:05:52.123571
2.0.cov.Math.pl_3.all,Coverage: Mathematics Proficiency Level 3,,2025-11-24T12:05:52.123572
2.0.cov.Math.pl_3.prv,"Coverage: Mathematics Proficiency Level 3, Private schools",,2025-11-24T12:05:52.123573
2.0.cov.Math.pl_3.pub,"Coverage: Mathematics Proficiency Level 3, Public schools",,2025-11-24T12:05:52.123574
2.0.cov.Read.pl_2.all,Coverage: Reading Proficiency Level 2,,2025-11-24T12:05:52.123577
2.0.cov.Read.pl_2.prv,"Coverage: Reading Proficiency Level 2, Private schools",,2025-11-24T12:05:52.123578
2.0.cov.Read.pl_2.pub,"Coverage: Reading Proficiency Level 2, Public schools",,2025-11-24T12:05:52.123579
2.0.cov.Read.pl_3.all,Coverage: Reading Proficiency Level 3,,2025-11-24T12:05:52.123580
2.0.cov.Read.pl_3.prv,"Coverage: Reading Proficiency Level 3, Private schools",,2025-11-24T12:05:52.123581
2.0.cov.Read.pl_3.pub,"Coverage: Reading Proficiency Level 3, Public schools",,2025-11-24T12:05:52.123582
2.0.cov.San,Coverage: Sanitation,,2025-11-24T12:05:52.123583
2.0.cov.Sch,Coverage: School Enrollment,,2025-11-24T12:05:52.123584
2.0.cov.Scie.pl_2.all,Coverage: Science Proficiency Level 2,,2025-11-24T12:05:52.123585
2.0.cov.Scie.pl_2.prv,"Coverage: Science Proficiency Level 2, Private schools",,2025-11-24T12:05:52.123586
2.0.cov.Scie.pl_2.pub,"Coverage: Science Proficiency Level 2, Public schools",,2025-11-24T12:05:52.123588
2.0.cov.Scie.pl_3.all,Coverage: Science Proficiency Level 3,,2025-11-24T12:05:52.123589
2.0.cov.Scie.pl_3.prv,"Coverage: Science Proficiency Level 3, Private schools",,2025-11-24T12:05:52.123590
2.0.cov.Scie.pl_3.pub,"Coverage: Science Proficiency Level 3, Public schools",,2025-11-24T12:05:52.123591
2.0.cov.Wat,Coverage: Water,,2025-11-24T12:05:52.123592
2.0.hoi.Cel,HOI: Mobile Phone,,2025-11-24T12:05:52.123593
2.0.hoi.Ele,HOI: Electricity,,2025-11-24T12:05:52.123594
2.0.hoi.FPS,HOI: Finished Primary School,,2025-11-24T12:05:52.123595
2.0.hoi.Int,HOI: Internet ,,2025-11-24T12:05:52.123596
2.0.hoi.Math.pl_2.all,HOI: Mathematics Proficiency Level 2,,2025-11-24T12:05:52.123597
2.0.hoi.Math.pl_2.prv,"HOI: Mathematics Proficiency Level 2, Private schools",,2025-11-24T12:05:52.123598
2.0.hoi.Math.pl_2.pub,"HOI: Mathematics Proficiency Level 2, Public schools",,2025-11-24T12:05:52.123599
2.0.hoi.Math.pl_3.all,HOI: Mathematics Proficiency Level 3,,2025-11-24T12:05:52.123600
2.0.hoi.Math.pl_3.prv,"HOI: Mathematics Proficiency Level 3, Private schools",,2025-11-24T12:05:52.123601
2.0.hoi.Math.pl_3.pub,"HOI: Mathematics Proficiency Level 3, Public schools",,2025-11-24T12:05:52.123601
2.0.hoi.Read.pl_2.all,HOI: Reading Proficiency Level 2,,2025-11-24T12:05:52.123602
2.0.hoi.Read.pl_2.prv,"HOI: Reading Proficiency Level 2, Private schools",,2025-11-24T12:05:52.123603
2.0.hoi.Read.pl_2.pub,"HOI: Reading Proficiency Level 2, Public schools",,2025-11-24T12:05:52.123604
2.0.hoi.Read.pl_3.all,HOI: Reading Proficiency Level 3,,2025-11-24T12:05:52.123605
2.0.hoi.Read.pl_3.prv,"HOI: Reading Proficiency Level 3, Private schools",,2025-11-24T12:05:52.123606
2.0.hoi.Read.pl_3.pub,"HOI: Reading Proficiency Level 3, Public schools",,2025-11-24T12:05:52.123607
2.0.hoi.San,HOI: Sanitation,,2025-11-24T12:05:52.123608
2.0.hoi.Sch,HOI: School Enrollment,,2025-11-24T12:05:52.123609
2.0.hoi.Scie.pl_2.all,HOI: Science Proficiency Level 2,,2025-11-24T12:05:52.123610
2.0.hoi.Scie.pl_2.prv,"HOI: Science Proficiency Level 2, Private schools",,2025-11-24T12:05:52.123611
2.0.hoi.Scie.pl_2.pub,"HOI: Science Proficiency Level 2, Public schools",,2025-11-24T12:05:52.123612
2.0.hoi.Scie.pl_3.all,HOI: Science Proficiency Level 3,,2025-11-24T12:05:52.123613
2.0.hoi.Scie.pl_3.prv,"HOI: Science Proficiency Level 3, Private schools",,2025-11-24T12:05:52.123614
2.0.hoi.Scie.pl_3.pub,"HOI: Science Proficiency Level 3, Public schools",,2025-11-24T12:05:52.123615
2.0.hoi.Wat,HOI: Water,,2025-11-24T12:05:52.123617
2.1_ACCESS.CFT.TOT,Access to Clean Fuels and Technologies for cooking (% of total population),,2025-11-24T12:05:52.123618
2.1_PRE.PRIMARY.GER,"School enrolment, preprimary, national source (% gross)",,2025-11-24T12:05:52.123619
2.1_SHARE.TOTAL.RE.IN.TFEC,Renewable energy consumption(% in TFEC),,2025-11-24T12:05:52.123622
2.2_GIR,"Gross intake ratio in grade 1, total, national source (% of relevant age group)",,2025-11-24T12:05:52.123623
2.3_GIR.GPI,Gender parity index for gross intake ratio in grade 1,,2025-11-24T12:05:52.123624
2.4_OOSC.RATE,"Rate of out of school children, national source (% of relevant age group) ",,2025-11-24T12:05:52.123625
2.5_PCR,"Primary completion rate, total, national source (% of relevant age group)",,2025-11-24T12:05:52.123626
2.6_PCR.GPI,Gender parity index for primary completion rate ,,2025-11-24T12:05:52.123627
2.7_PRI.SEC.TRANSITION.RATE,"Progression to secondary school, national source (%)",,2025-11-24T12:05:52.123628
2.8_LOW.SEC.COMPLETION.RATE,"Lower secondary completion rate, total, national source (% of relevant age group)",,2025-11-24T12:05:52.123629
3.0.Atkin.0.5,"Atkinson, A(.5)",,2025-11-24T12:05:52.123630
3.0.Atkin.1,"Atkinson, A(1)",,2025-11-24T12:05:52.123633
3.0.Atkin.2,"Atkinson, A(2)",,2025-11-24T12:05:52.123634
3.0.GenEnt-1,"Generalized Entrophy, GE(-1)",,2025-11-24T12:05:52.123635
3.0.GenEnt2,"Generalized Entrophy, GE(2)",,2025-11-24T12:05:52.123636
3.0.Gini,Gini Coefficient,,2025-11-24T12:05:52.123637
3.0.Gini_nozero,Gini Coefficient (No Zero Income),,2025-11-24T12:05:52.123638
3.0.IncShr.q1,Income Share of First Quintile,,2025-11-24T12:05:52.123638
3.0.IncShr.q2,Income Share of Second Quintile,,2025-11-24T12:05:52.123640
3.0.IncShr.q3,Income Share of Third Quintile,,2025-11-24T12:05:52.123641
3.0.IncShr.q4,Income Share of Fourth Quintile,,2025-11-24T12:05:52.123642
3.0.IncShr.q5,Income Share of Fifth Quintile,,2025-11-24T12:05:52.123643
3.0.MLongDev0,"Mean Log Deviation, GE(0)",,2025-11-24T12:05:52.123644
3.0.Rate75-25,Rate 75/25,,2025-11-24T12:05:52.123645
3.0.Rate90-10,Rate 90/10,,2025-11-24T12:05:52.123645
3.0.TheilInd1,"Theil Index, GE(1)",,2025-11-24T12:05:52.123646
3.1.Gini,"Gini, Rural",,2025-11-24T12:05:52.123647
3.1.MLongDev0,"Mean Log Deviation, GE(0), Rural",,2025-11-24T12:05:52.123648
3.1.TheilInd1,"Theil Index, GE(1), Rural",,2025-11-24T12:05:52.123649
3.1_LOW.SEC.NEW.TEACHERS,"Lower secondary education, new teachers, national source",,2025-11-24T12:05:52.123650
3.1_PRI.NEW.ENTRANTS,"Primary education, new entrants, national source",,2025-11-24T12:05:52.123651
3.1_RE.CONSUMPTION,Renewable energy consumption (TJ),,2025-11-24T12:05:52.123652
3.11_LOW.SEC.CLASSROOMS,"Lower secondary education, classrooms, national source",,2025-11-24T12:05:52.123653
3.12_LOW.SEC.NEW.CLASSROOMS,"Lower secondary education, new classrooms, national source",,2025-11-24T12:05:52.123653
3.13_PRI.MATH.BOOK.PER.PUPIL,"Ratio of textbooks per pupil, primary education, mathematics",,2025-11-24T12:05:52.123656
3.14_PRI.LANGU.BOOK.PER.PUPIL,"Ratio of textbooks per pupil, primary education, language",,2025-11-24T12:05:52.123657
3.15_LEARN.TIME.TEACHER.STUDY,Last study on effective learning time and teacher attendance (year),,2025-11-24T12:05:52.123658
3.2.Gini,"Gini, Urban",,2025-11-24T12:05:52.123659
3.2.MLongDev0,"Mean Log Deviation, GE(0),Urban",,2025-11-24T12:05:52.123660
3.2.TheilInd1,"Theil Index, GE(1),Urban",,2025-11-24T12:05:52.123661
3.2_PRI.STUDENTS,"Primary education, pupils, national source",,2025-11-24T12:05:52.123662
3.3_PRI.TEACHERS,"Primary education, teachers, national source",,2025-11-24T12:05:52.123663
3.4_PRI.NEW.TEACHERS,"Primary education, new teachers, national source",,2025-11-24T12:05:52.123664
3.5_PRI.CLASSROOMS,"Primary education, classrooms, national source",,2025-11-24T12:05:52.123665
3.6_PRI.NEW.CLASSROOMS,"Primary education, new classrooms, national source",,2025-11-24T12:05:52.123666
3.7_LOW.SEC.NEW.ENTRANTS,"Lower Secondary education, new entrants, national source",,2025-11-24T12:05:52.123666
3.8_LOW.SEC.STUDENTS,"Lower secondary education, pupils, national source",,2025-11-24T12:05:52.123667
3.9_LOW.SEC.TEACHERS,"Lower secondary education, teachers, national source",,2025-11-24T12:05:52.123668
4.0.nini.15a18,Youth: Neither in School Nor Working  (15-18),,2025-11-24T12:05:52.123669
4.0.nini.15a24,Youth: Neither in School Nor Working  (15-24),,2025-11-24T12:05:52.123670
4.0.nini.19a24,Youth: Neither in School Nor Working  (19-24),,2025-11-24T12:05:52.123671
4.0.stud.15a18,Youth: In School (15-18),,2025-11-24T12:05:52.123672
4.0.stud.15a24,Youth: In School (15-24),,2025-11-24T12:05:52.123673
4.0.stud.19a24,Youth: In School (19-24),,2025-11-24T12:05:52.123674
4.0.studwork.15a18,Youth: In School and Employed (15-18),,2025-11-24T12:05:52.123675
4.0.studwork.15a24,Youth: In School and Employed (15-24),,2025-11-24T12:05:52.123676
4.0.studwork.19a24,Youth: In School and Employed (19-24),,2025-11-24T12:05:52.123677
4.0.work.15a18,Youth: Employed (15-18),,2025-11-24T12:05:52.123678
4.0.work.15a24,Youth: Employed (15-24),,2025-11-24T12:05:52.123679
4.0.work.19a24,Youth: Employed (19-24),,2025-11-24T12:05:52.123680
4.1.1_TOTAL.ELECTRICITY.OUTPUT,Total electricity output (GWh),,2025-11-24T12:05:52.123681
4.1.2_REN.ELECTRICITY.OUTPUT,Renewable energy electricity output (GWh),,2025-11-24T12:05:52.123682
4.1.nini.15a18,"Youth: Neither in School Nor Working  (15-18), Male",,2025-11-24T12:05:52.123686
4.1.nini.15a24,"Youth: Neither in School Nor Working  (15-24), Male",,2025-11-24T12:05:52.123688
4.1.nini.19a24,"Youth: Neither in School Nor Working  (19-24), Male",,2025-11-24T12:05:52.123689
4.1.stud.15a18,"Youth: In School (15-18), Male",,2025-11-24T12:05:52.123692
4.1.stud.15a24,"Youth: In School (15-24), Male",,2025-11-24T12:05:52.123693
4.1.stud.19a24,"Youth: In School (19-24), Male",,2025-11-24T12:05:52.123694
4.1.studwork.15a18,"Youth: In School and Employed (15-18), Male",,2025-11-24T12:05:52.123695
4.1.studwork.15a24,"Youth: In School and Employed (15-24), Male",,2025-11-24T12:05:52.123696
4.1.studwork.19a24,"Youth: In School and Employed (19-24), Male",,2025-11-24T12:05:52.123697
4.1.work.15a18,"Youth: Employed (15-18), Male",,2025-11-24T12:05:52.123698
4.1.work.15a24,"Youth: Employed (15-24), Male",,2025-11-24T12:05:52.123699
4.1.work.19a24,"Youth: Employed (19-24), Male",,2025-11-24T12:05:52.123700
4.1_SHARE.RE.IN.ELECTRICITY,Renewable electricity (% in total electricity output),,2025-11-24T12:05:52.123701
4.1_TOTAL.EDU.SPENDING,Public spending on total education (% of total public spending),,2025-11-24T12:05:52.123702
4.2.nini.15a18,"Youth: Neither in School Nor Working  (15-18), Female",,2025-11-24T12:05:52.123703
4.2.nini.15a24,"Youth: Neither in School Nor Working  (15-24), Female",,2025-11-24T12:05:52.123704
4.2.nini.19a24,"Youth: Neither in School Nor Working  (19-24), Female",,2025-11-24T12:05:52.123705
4.2.stud.15a18,"Youth: In School (15-18), Female",,2025-11-24T12:05:52.123706
4.2.stud.15a24,"Youth: In School (15-24), Female",,2025-11-24T12:05:52.123707
4.2.stud.19a24,"Youth: In School (19-24), Female",,2025-11-24T12:05:52.123708
4.2.studwork.15a18,"Youth: In School and Employed (15-18), Female",,2025-11-24T12:05:52.123708
4.2.studwork.15a24,"Youth: In School and Employed (15-24), Female",,2025-11-24T12:05:52.123709
4.2.studwork.19a24,"Youth: In School and Employed (19-24), Female",,2025-11-24T12:05:52.123710
4.2.work.15a18,"Youth: Employed (15-18), Female",,2025-11-24T12:05:52.123711
4.2.work.15a24,"Youth: Employed (15-24), Female",,2025-11-24T12:05:52.123712
4.2.work.19a24,"Youth: Employed (19-24), Female",,2025-11-24T12:05:52.123713
4.2_BASIC.EDU.SPENDING,Public spending on basic education (% of public spending on total education),,2025-11-24T12:05:52.123714
4.3_TOTAL.EDU.RECURRENT,Public recurrent spending on total education (% of total public recurrent spending),,2025-11-24T12:05:52.123715
4.4_BASIC.EDU.RECURRENT,Public recurrent spending on basic education (% of public recurrent spending on total education),,2025-11-24T12:05:52.123716
5.0.AMeanIncGr.All,Annualized Mean Income Growth (2004-2014),,2025-11-24T12:05:52.123717
5.0.AMeanIncGr.B40,Annualized Mean Income Growth Bottom 40 Percent (2004-2014),,2025-11-24T12:05:52.123718
5.1.1_AFG.TOTA.AID.CIDA,"International aid disbursed to total education, CIDA to Afghanistan (USD million)",,2025-11-24T12:05:52.123719
5.1.1_ALB.TOTA.AID.WB,"International aid disbursed to total education, World Bank to Albania (USD million)",,2025-11-24T12:05:52.123720
5.1.1_BFA.TOTA.AID.CIDA,"International aid disbursed to total education, CIDA to Burkina Faso (USD million)",,2025-11-24T12:05:52.123721
5.1.1_CAF.TOT.AID.GPE," International aid disbursed to total education, Global Partnership for Education to Central African Republic (USD million)  ",,2025-11-24T12:05:52.123722
5.1.1_CIV.TOTA.AID.AFDB," International aid disbursed to total education, AfDB to Côte d'Ivoire (USD million) ",,2025-11-24T12:05:52.123724
5.1.1_CMR.TOTA.AID.BAD,"International aid disbursed to total education, AfDB to Cameroun (USD million) ",,2025-11-24T12:05:52.123725
5.1.1_DJI.TOTA.AID.WB,"International aid disbursed to total education, World Bank (IDA) to Djibouti (USD million)",,2025-11-24T12:05:52.123726
5.1.1_ETH.TOTA.AID.ADB,"International aid disbursed to total education, ADB to Ethiopia (USD million)",,2025-11-24T12:05:52.123729
5.1.1_GEO.TOTA.AID.EC,"International aid disbursed to total education, European Commission to Georgia (USD million)",,2025-11-24T12:05:52.123730
5.1.1_GHA.TOTA.AID.DFID,"International aid disbursed to total education, DFID to Djibouti (USD million) ",,2025-11-24T12:05:52.123731
5.1.1_GIN.TOTA.AID.ADPP.AFD,"International aid disbursed to total education, AFD to Guinea (USD million) ",,2025-11-24T12:05:52.123732
5.1.1_GNB.TOTA.AID.ADPP.EU,"International aid disbursed to total education, ADPP (European Union) to Guinea Bissau (USD million) ",,2025-11-24T12:05:52.123733
5.1.1_KGZ.TOTA.AID.ADPP.EU," International aid disbursed to total education, European Commission to Kyrgyzstan (USD million)  ",,2025-11-24T12:05:52.123734
5.1.1_KHM.TOTA.AID.BAD," International aid disbursed to total education, AfDB to Cambodia (USD million)  ",,2025-11-24T12:05:52.123735
5.1.1_LAO.TOTA.AID.ADB," International aid disbursed to total education, ADB to Laos (USD million)  ",,2025-11-24T12:05:52.123735
5.1.1_LBR.TOTA.AID.UNICEF," International aid disbursed to total education, UNICEF to Liberia (USD million)  ",,2025-11-24T12:05:52.123736
5.1.1_MDA.TOTA.AID.UNICEF," International aid disbursed to total education, UNICEF to Moldova (USD million)  ",,2025-11-24T12:05:52.123737
5.1.1_MDG.TOTA.AID.WB, International aid to total education executed by World Bank (including GPE funds) in Madagascar (USD million)  ,,2025-11-24T12:05:52.123738
5.1.1_MOZ.TOTA.AID.CAN," International aid disbursed to total education, Canada to Mozambique (USD million) ",,2025-11-24T12:05:52.123739
5.1.1_MRT.TOTA.AID.AFD,"International aid disbursed to total education, AFD to Mauritania (USD million) ",,2025-11-24T12:05:52.123740
5.1.1_MWI.TOTA.AID.AFDB,"International aid disbursed to total education, AfDB to Malawi (USD million) ",,2025-11-24T12:05:52.123741
5.1.1_NER.TOTA.AID.AFD,"International aid disbursed to total education, AFD to Niger (USD million) ",,2025-11-24T12:05:52.123744
5.1.1_RWA.TOTA.AID.DFID," International aid disbursed to total education, DFID to Rwanda (USD million)  ",,2025-11-24T12:05:52.123745
5.1.1_SEN.TOTA.AID.CIDA," International aid disbursed to total education, CIDA to Senegal (USD million)  ",,2025-11-24T12:05:52.123746
5.1.1_SLE.TOTA.AID.DFID," International aid disbursed to total education, DFID to Sierra Leone (USD million)  ",,2025-11-24T12:05:52.123747
5.1.1_VNM.TOTA.AID.BEL,"International aid disbursed to total education, Belgium to Vietnam (USD million) ",,2025-11-24T12:05:52.123747
